,price
0,365000.0
1,455000.0
2,273000.0
3,223000.0
4,335500.0
5,600000.0
6,309000.0
7,390000.0
8,380000.0
9,323000.0
10,343888.0
11,322500.0
12,551000.0
13,325000.0
14,295000.0
15,265000.0
16,449500.0
17,340000.0
18,310000.0
19,320000.0
20,599000.0
21,374950.0
22,525000.0
23,265000.0
24,320000.0
25,1500000.0
26,225000.0
27,316500.0
28,350000.0
29,225000.0
30,400000.0
31,570000.0
32,336000.0
33,385000.0
34,195000.0
35,479950.0
36,310000.0
37,299950.0
38,330000.0
39,327000.0
40,325000.0
41,288000.0
42,137124.0
43,380000.0
44,291970.0
45,455000.0
46,439000.0
47,279950.0
48,291600.0
49,790000.0
50,554000.0
51,345000.0
52,300000.0
53,255000.0
54,475000.0
55,465000.0
56,589950.0
57,770000.0
58,345000.0
59,355000.0
60,400000.0
61,305000.0
62,305000.0
63,362000.0
64,278000.0
65,348000.0
66,419625.0
67,269900.0
68,252000.0
69,544800.0
70,340500.0
71,317500.0
72,435000.0
73,305000.0
74,335000.0
75,435000.0
76,225500.0
77,347500.0
78,330490.0
79,255000.0
80,252350.0
81,328000.0
82,218000.0
83,440000.0
84,475000.0
85,610000.0
86,515000.0
87,333000.0
88,290000.0
89,400000.0
90,305000.0
91,256500.0
92,358000.0
93,432000.0
94,340000.0
95,322000.0
96,258000.0
97,385000.0
98,302000.0
99,345000.0
100,317000.0
101,405000.0
102,442500.0
103,330000.0
104,327500.0
105,359950.0
106,392000.0
107,380000.0
108,348000.0
109,365500.0
110,270000.0
111,315000.0
112,229950.0
113,550000.0
114,399000.0
115,300000.0
116,312000.0
117,785000.0
118,255000.0
119,405000.0
120,265000.0
121,299000.0
122,358000.0
123,485000.0
124,190000.0
125,231000.0
126,325000.0
127,320000.0
128,144000.0
129,375000.0
130,330000.0
131,295000.0
132,395000.0
133,365000.0
134,330000.0
135,371000.0
136,275000.0
137,320000.0
138,365000.0
139,440000.0
140,412000.0
141,180000.0
142,526000.0
143,346500.0
144,390000.0
145,278500.0
146,360000.0
147,231750.0
148,315000.0
149,356000.0
150,299000.0
151,390000.0
152,300000.0
153,260000.0
154,307000.0
155,485000.0
156,460000.0
157,352750.0
158,365000.0
159,350000.0
160,380000.0
161,320000.0
162,475000.0
163,349900.0
164,265000.0
165,405000.0
166,335000.0
167,349000.0
168,360000.0
169,249500.0
170,316000.0
171,305100.0
172,414000.0
173,169500.0
174,150000.0
175,249950.0
176,370000.0
177,312500.0
178,325000.0
179,151600.0
180,379000.0
181,280000.0
182,279950.0
183,602500.0
184,395000.0
185,329000.0
186,279000.0
187,339950.0
188,359900.0
189,270000.0
190,390000.0
191,230000.0
192,419000.0
193,319000.0
194,175000.0
195,415000.0
196,287000.0
197,323000.0
198,199000.0
199,365000.0
200,315000.0
201,312500.0
202,200000.0
203,215000.0
204,272000.0
205,459000.0
206,267000.0
207,479950.0
208,329950.0
209,370000.0
210,326000.0
211,387500.0
212,330000.0
213,349950.0
214,313500.0
215,460000.0
216,349950.0
217,279000.0
218,325000.0
219,190000.0
220,346000.0
221,370000.0
222,225000.0
223,270000.0
224,390000.0
225,419950.0
226,380000.0
227,317000.0
228,429900.0
229,270000.0
230,678500.0
231,317000.0
232,225000.0
233,325000.0
234,385000.0
235,364808.0
236,838000.0
237,300000.0
238,570000.0
239,285000.0
240,319950.0
241,300000.0
242,230000.0
243,364950.0
244,300000.0
245,320000.0
246,290000.0
247,380000.0
248,342000.0
249,325000.0
250,341000.0
251,215000.0
252,145600.0
253,360000.0
254,400000.0
255,309950.0
256,242500.0
257,507000.0
258,246000.0
259,95000.0
260,150000.0
261,289000.0
262,397500.0
263,400000.0
264,441000.0
265,315500.0
266,436500.0
267,381000.0
268,339000.0
269,408000.0
270,302200.0
271,372500.0
272,272000.0
273,290000.0
274,235000.0
275,360000.0
276,525000.0
277,289900.0
278,379900.0
279,716500.0
280,206325.0
281,345000.0
282,225000.0
283,388000.0
284,370000.0
285,340000.0
286,275000.0
287,255000.0
288,568000.0
289,263000.0
290,529000.0
291,230000.0
292,998000.0
293,339000.0
294,440000.0
295,415000.0
296,400000.0
297,368750.0
298,249000.0
299,633000.0
300,386000.0
301,279000.0
302,165000.0
303,438800.0
304,279950.0
305,299000.0
306,327500.0
307,304000.0
308,306000.0
309,390000.0
310,420000.0
311,315000.0
312,320000.0
313,255000.0
314,199000.0
315,260000.0
316,334950.0
317,150000.0
318,271500.0
319,489000.0
320,343500.0
321,349950.0
322,189000.0
323,360000.0
324,353500.0
325,284000.0
326,365000.0
327,263500.0
328,332000.0
329,99000.0
330,300000.0
331,425000.0
332,336500.0
333,300000.0
334,479950.0
335,328950.0
336,430000.0
337,412950.0
338,450000.0
339,205000.0
340,280000.0
341,347000.0
342,320000.0
343,386000.0
344,680000.0
345,535000.0
346,314950.0
347,250000.0
348,445000.0
349,782000.0
350,348000.0
351,295000.0
352,374900.0
353,230000.0
354,249950.0
355,289000.0
356,287000.0
357,315001.0
358,315000.0
359,384200.0
360,410000.0
361,420000.0
362,239950.0
363,1135250.0
364,300000.0
365,225000.0
366,359900.0
367,392000.0
368,460000.0
369,315000.0
370,420000.0
371,249000.0
372,297950.0
373,344950.0
374,333000.0
375,310000.0
376,371000.0
377,270000.0
378,280000.0
379,360000.0
380,345000.0
381,460000.0
382,252500.0
383,220000.0
384,590000.0
385,865000.0
386,685000.0
387,312000.0
388,1302000.0
389,495000.0
390,448000.0
391,895000.0
392,750000.0
393,425000.0
394,476000.0
395,550000.0
396,630000.0
397,691500.0
398,674000.0
399,525000.0
400,575000.0
401,435000.0
402,540000.0
403,395000.0
404,616500.0
405,420000.0
406,925000.0
407,796000.0
408,650000.0
409,780000.0
410,663500.0
411,526000.0
412,680000.0
413,603000.0
414,659500.0
415,601000.0
416,538000.0
417,476500.0
418,438000.0
419,530000.0
420,690000.0
421,290000.0
422,590000.0
423,655100.0
424,627000.0
425,510000.0
426,849000.0
427,719000.0
428,1161000.0
429,905000.0
430,348000.0
431,975000.0
432,690000.0
433,650000.0
434,738000.0
435,520500.0
436,760000.0
437,474000.0
438,490000.0
439,628000.0
440,1075000.0
441,780000.0
442,385000.0
443,775000.0
444,1310000.0
445,499000.0
446,460000.0
447,390000.0
448,2300000.0
449,387500.0
450,455000.0
451,465000.0
452,594000.0
453,570000.0
454,480000.0
455,475000.0
456,403000.0
457,470000.0
458,625000.0
459,1100000.0
460,382888.0
461,781000.0
462,780000.0
463,725000.0
464,475000.0
465,508500.0
466,1100000.0
467,885000.0
468,619950.0
469,735000.0
470,555000.0
471,425000.0
472,445000.0
473,740000.0
474,452000.0
475,499950.0
476,441000.0
477,399000.0
478,696000.0
479,810000.0
480,495000.0
481,414500.0
482,548800.0
483,625500.0
484,559000.0
485,489000.0
486,393820.0
487,567500.0
488,575000.0
489,450000.0
490,523000.0
491,550000.0
492,1880000.0
493,285000.0
494,870000.0
495,794500.0
496,575700.0
497,654500.0
498,270000.0
499,660000.0
500,435000.0
501,779000.0
502,567000.0
503,365000.0
504,455000.0
505,716528.0
506,485000.0
507,420000.0
508,404500.0
509,489000.0
510,392800.0
511,1150000.0
512,406000.0
513,650000.0
514,827000.0
515,380000.0
516,805000.0
517,555000.0
518,640000.0
519,500000.0
520,546800.0
521,451000.0
522,550000.0
523,445000.0
524,620000.0
525,361600.0
526,369500.0
527,517000.0
528,775000.0
529,667500.0
530,650000.0
531,585000.0
532,492000.0
533,615500.0
534,564000.0
