,date
0,20141006T000000
1,20140821T000000
2,20140815T000000
3,20150331T000000
4,20140714T000000
5,20140827T000000
6,20140819T000000
7,20141017T000000
8,20140804T000000
9,20140516T000000
10,20150422T000000
11,20150303T000000
12,20150128T000000
13,20150507T000000
14,20150323T000000
15,20140603T000000
16,20150206T000000
17,20141029T000000
18,20141016T000000
19,20150202T000000
20,20140910T000000
21,20141103T000000
22,20141120T000000
23,20141009T000000
24,20140620T000000
25,20140718T000000
26,20140826T000000
27,20141218T000000
28,20150309T000000
29,20150304T000000
30,20150223T000000
31,20150408T000000
32,20140801T000000
33,20141024T000000
34,20140812T000000
35,20150112T000000
36,20150312T000000
37,20140910T000000
38,20140729T000000
39,20141201T000000
40,20140903T000000
41,20140516T000000
42,20140603T000000
43,20150218T000000
44,20140503T000000
45,20150502T000000
46,20140718T000000
47,20150325T000000
48,20150424T000000
49,20150218T000000
50,20140812T000000
51,20140807T000000
52,20140514T000000
53,20141024T000000
54,20141215T000000
55,20140731T000000
56,20141106T000000
57,20140515T000000
58,20140619T000000
59,20141013T000000
60,20150123T000000
61,20150409T000000
62,20141022T000000
63,20140808T000000
64,20141028T000000
65,20150129T000000
66,20141020T000000
67,20141028T000000
68,20150326T000000
69,20140908T000000
70,20150417T000000
71,20140724T000000
72,20140602T000000
73,20140710T000000
74,20140603T000000
75,20150228T000000
76,20150423T000000
77,20150224T000000
78,20140714T000000
79,20140612T000000
80,20150206T000000
81,20140902T000000
82,20150422T000000
83,20150211T000000
84,20140626T000000
85,20150219T000000
86,20141009T000000
87,20140815T000000
88,20150305T000000
89,20140516T000000
90,20141119T000000
91,20140606T000000
92,20140619T000000
93,20141215T000000
94,20141229T000000
95,20150327T000000
96,20150430T000000
97,20141015T000000
98,20150327T000000
99,20141202T000000
100,20140718T000000
101,20150327T000000
102,20150327T000000
103,20150109T000000
104,20140618T000000
105,20140807T000000
106,20140628T000000
107,20141124T000000
108,20140609T000000
109,20140630T000000
110,20141103T000000
111,20140626T000000
112,20150126T000000
113,20140914T000000
114,20150224T000000
115,20140827T000000
116,20141024T000000
117,20141029T000000
118,20150402T000000
119,20150506T000000
120,20150318T000000
121,20140715T000000
122,20141020T000000
123,20140612T000000
124,20140801T000000
125,20140925T000000
126,20150120T000000
127,20140620T000000
128,20140612T000000
129,20140911T000000
130,20140505T000000
131,20150417T000000
132,20141029T000000
133,20140509T000000
134,20140605T000000
135,20150326T000000
136,20141117T000000
137,20150423T000000
138,20141003T000000
139,20150212T000000
140,20140821T000000
141,20140817T000000
142,20141015T000000
143,20150410T000000
144,20140729T000000
145,20150401T000000
146,20141027T000000
147,20141124T000000
148,20150211T000000
149,20140929T000000
150,20150102T000000
151,20141110T000000
152,20140923T000000
153,20150204T000000
154,20140714T000000
155,20150318T000000
156,20150325T000000
157,20141208T000000
158,20150108T000000
159,20140527T000000
160,20150413T000000
161,20141212T000000
162,20141003T000000
163,20150220T000000
164,20140522T000000
165,20140905T000000
