zipcode,full_time_earnings,part_time_earnings,no_earnings,car_truck_van,public_transportation,taxi,motorcycle,bike_walk_other,work_home,less_than_hs,high_school_grad,associates,bachelors,masters,professional_school_degree,doctorate,public_school_enrollment,private_school_enrollment,no_school_enrollment,for_rent,rented_and_unoccupied,for_sale_only,sold_and_unoccupied,seasonal_or_rec_use,migrant_worker_housing,vacant_other_reasons,in_occupied_housing_units,adult_correctional_facility,juvenile_facilities,nursing_facilities,other_institutional,military_quarters,other_noninstitutional,house_owned_with_mortgage,house_owned_outright,renter_occupied_housing,vacant_households,husband_and_wife_house,single_guardian,singles,singles_with_roommate,male,female,median_age,male_median_age,female_median_age,population,population_density_per_sq_mile,total_housing_units,median_home_value,land_area,water_area_sq_mile,occupied_housing_units,median_household_income
98001,11210,7226,8178,14452,1057,0,54,212,579,1957,12586,3015,3655,942,152,72,5979,470,800,146,10,146,21,33,0,176,31694,30,0,4,21,0,162,6975,1369,2373,532,6468,1772,1801,676,16047,15864,38,38,38,31911,1717,11249,268800.00,18.59,0.32,10717,71746.00
98002,9534,7439,9023,12319,986,84,65,618,361,3924,13231,1922,1968,587,149,20,5325,243,1112,565,12,189,28,38,0,153,31247,0,10,215,0,0,175,3970,1992,6533,985,4665,2772,3924,1134,15564,16083,35,34,36,31647,4423,13480,167100.00,7.15,0.13,12495,43568.00
98003,13989,8908,12669,17082,1386,0,77,784,944,3570,15997,3049,4438,1212,296,156,6956,601,1446,631,25,197,39,67,0,227,43511,3,0,421,0,0,216,6313,2167,8770,1186,6863,3610,5395,1382,21343,22808,35,33,36,44151,3800,18436,221600.00,11.62,0.11,17250,45894.00
98004,11548,5699,7890,10628,1383,11,32,1748,1454,653,5275,1384,8945,4170,1253,715,2904,1385,462,1383,141,1111,60,361,1,191,27758,0,0,50,0,0,138,4536,2118,6666,3248,5946,1129,5142,1103,13894,14052,40,38,41,27946,3977,16568,723300.00,7.03,1.61,13320,93521.00
98005,6500,3307,4636,6461,1032,27,63,389,524,454,2954,875,4743,2368,500,412,2148,566,185,187,13,89,29,140,0,73,17549,0,0,0,0,0,165,3193,1168,3178,531,3800,781,2286,672,8930,8784,38,36,40,17714,2361,8070,568700.00,7.50,0.01,7539,84774.00
98006,12365,6920,9250,13656,1413,25,56,328,1368,559,6238,1955,9539,4184,1361,1137,6315,1363,422,172,11,144,38,87,0,151,36160,0,0,25,0,0,179,7907,2743,2638,603,8877,1471,2264,676,17995,18369,42,41,44,36364,3402,13891,574000.00,10.69,0.75,13288,110290.00
98007,9446,5258,5995,9257,2537,0,11,1069,470,1410,4675,1278,6192,3481,369,444,2716,634,292,374,23,115,10,55,1,103,24758,0,0,6,0,0,125,2823,1165,6327,681,4802,1370,2996,1147,12826,12063,32,31,33,24889,5684,10996,379000.00,4.38,0.01,10315,73162.00
98008,8488,4985,6307,9658,1590,16,37,343,624,1077,5555,1280,6456,2361,427,412,3352,767,327,97,12,96,29,37,0,108,23945,0,0,89,0,0,377,4854,1774,2545,379,5375,1104,2063,631,12131,12280,41,40,43,24411,4437,9552,457200.00,5.50,2.85,9173,92986.00
98010,1675,1000,1154,2066,78,0,0,47,237,225,2025,284,516,184,23,57,741,130,135,23,1,28,2,60,0,57,5025,0,0,0,0,0,0,1241,332,273,171,1177,228,311,130,2512,2513,41,41,40,5025,334,2017,319300.00,15.05,1.02,1846,85398.00
98011,10612,6836,6634,12992,1132,0,95,359,1021,1206,8483,1985,6478,2206,403,359,4537,677,435,332,15,249,23,36,0,86,28978,0,0,88,0,0,146,6430,1468,4007,741,6013,1625,3246,1021,14181,15031,38,36,39,29212,3569,12646,351000.00,8.19,0.00,11905,71720.00
98014,2587,1608,1348,3154,111,0,26,76,243,391,1980,381,1421,481,99,116,1018,450,146,25,5,55,5,46,0,39,6763,0,0,0,0,0,2,1706,382,368,175,1614,275,405,162,3447,3318,41,41,41,6765,149,2631,410900.00,45.31,1.79,2456,95394.00
98019,3802,2068,2418,4781,123,0,25,19,300,317,3565,577,2035,476,206,0,2265,342,217,30,3,59,18,41,0,48,10670,0,0,0,0,0,51,2794,468,446,199,2551,391,588,178,5400,5325,37,37,37,10725,141,3907,376600.00,76.33,0.82,3708,95025.00
98022,6751,4961,5608,9058,137,0,32,271,515,1412,9080,1428,2221,586,270,90,3240,413,500,123,7,93,21,464,0,175,20830,21,0,76,0,0,60,4498,1591,2207,883,4517,1187,2072,520,10416,10571,42,41,43,20987,52,9179,300800.00,405.93,2.45,8296,66295.00
98023,16493,10327,11495,20407,1680,11,63,526,1007,2708,16470,3364,6249,2273,356,263,7937,942,1526,541,23,220,46,81,0,203,47319,0,0,0,21,0,170,9212,1815,5885,1114,9131,3119,3542,1120,23538,23972,36,34,37,47510,4604,18026,265100.00,10.32,1.39,16912,67906.00
98024,1916,1546,1253,2572,145,0,0,53,190,236,1655,462,1386,241,118,88,849,223,92,25,2,51,13,35,0,41,5644,0,0,0,0,0,6,1355,394,330,167,1359,255,342,123,2876,2774,43,43,43,5650,236,2246,490600.00,23.92,0.52,2079,93777.00
